ID	Departamento	ISOCode	Zona	Municipio
1	Ahuachapán	SV-AH	Occidental	Ahuachapán
1	Ahuachapán	SV-AH	Occidental	Jujutla
1	Ahuachapán	SV-AH	Occidental	Atiquizaya
1	Ahuachapán	SV-AH	Occidental	Concepción de Ataco
1	Ahuachapán	SV-AH	Occidental	El Refugio
1	Ahuachapán	SV-AH	Occidental	Guaymango
1	Ahuachapán	SV-AH	Occidental	Apaneca
1	Ahuachapán	SV-AH	Occidental	San Francisco Menéndez
1	Ahuachapán	SV-AH	Occidental	San Lorenzo
1	Ahuachapán	SV-AH	Occidental	San Pedro Puxtla
1	Ahuachapán	SV-AH	Occidental	Tacuba
1	Ahuachapán	SV-AH	Occidental	Turín
2	Santa Ana	SV-SA	Occidental	Candelaria de la Frontera
2	Santa Ana	SV-SA	Occidental	Chalchuapa
2	Santa Ana	SV-SA	Occidental	Coatepeque
2	Santa Ana	SV-SA	Occidental	El Congo
2	Santa Ana	SV-SA	Occidental	El Porvenir
2	Santa Ana	SV-SA	Occidental	Masahuat
2	Santa Ana	SV-SA	Occidental	Metapán
2	Santa Ana	SV-SA	Occidental	San Antonio Pajonal
2	Santa Ana	SV-SA	Occidental	San Sebastián Salitrillo
2	Santa Ana	SV-SA	Occidental	Santa Ana
2	Santa Ana	SV-SA	Occidental	Santa Rosa Guachipilín
2	Santa Ana	SV-SA	Occidental	Santiago de la Frontera
2	Santa Ana	SV-SA	Occidental	Texistepeque
3	Sonsonate	SV-SO	Occidental	Acajutla
3	Sonsonate	SV-SO	Occidental	Armenia
3	Sonsonate	SV-SO	Occidental	Caluco
3	Sonsonate	SV-SO	Occidental	Cuisnahuat
3	Sonsonate	SV-SO	Occidental	Izalco
3	Sonsonate	SV-SO	Occidental	Juayúa
3	Sonsonate	SV-SO	Occidental	Nahuizalco
3	Sonsonate	SV-SO	Occidental	Nahulingo
3	Sonsonate	SV-SO	Occidental	Salcoatitán
3	Sonsonate	SV-SO	Occidental	San Antonio del Monte
3	Sonsonate	SV-SO	Occidental	San Julián
3	Sonsonate	SV-SO	Occidental	Santa Catarina Masahuat
3	Sonsonate	SV-SO	Occidental	Santa Isabel Ishuatán
3	Sonsonate	SV-SO	Occidental	Santo Domingo de Guzmán
3	Sonsonate	SV-SO	Occidental	Sonsonate
3	Sonsonate	SV-SO	Occidental	Sonzacate
4	La Libertad	SV-LI	Central	Antiguo Cuscatlán
4	La Libertad	SV-LI	Central	Chiltiupán
4	La Libertad	SV-LI	Central	Ciudad Arce
4	La Libertad	SV-LI	Central	Colón
4	La Libertad	SV-LI	Central	Comasagua
4	La Libertad	SV-LI	Central	Huizúcar
4	La Libertad	SV-LI	Central	Jayaque
4	La Libertad	SV-LI	Central	Jicalapa
4	La Libertad	SV-LI	Central	La Libertad
4	La Libertad	SV-LI	Central	Santa Tecla
4	La Libertad	SV-LI	Central	Nuevo Cuscatlán
4	La Libertad	SV-LI	Central	San Juan Opico
4	La Libertad	SV-LI	Central	Quezaltepeque
4	La Libertad	SV-LI	Central	Sacacoyo
4	La Libertad	SV-LI	Central	San José Villanueva
4	La Libertad	SV-LI	Central	San Matías
4	La Libertad	SV-LI	Central	San Pablo Tacachico
4	La Libertad	SV-LI	Central	Talnique
4	La Libertad	SV-LI	Central	Tamanique
4	La Libertad	SV-LI	Central	Teotepeque
4	La Libertad	SV-LI	Central	Tepecoyo
4	La Libertad	SV-LI	Central	Zaragoza
5	Chalatenango	SV-CH	Central	Agua Caliente
5	Chalatenango	SV-CH	Central	Arcatao
5	Chalatenango	SV-CH	Central	Azacualpa
5	Chalatenango	SV-CH	Central	Cancasque
5	Chalatenango	SV-CH	Central	Chalatenango
5	Chalatenango	SV-CH	Central	Citalá
5	Chalatenango	SV-CH	Central	Comapala
5	Chalatenango	SV-CH	Central	Concepción Quezaltepeque
5	Chalatenango	SV-CH	Central	Dulce Nombre de María
5	Chalatenango	SV-CH	Central	El Carrizal
5	Chalatenango	SV-CH	Central	El Paraíso
5	Chalatenango	SV-CH	Central	La Laguna
5	Chalatenango	SV-CH	Central	La Palma
5	Chalatenango	SV-CH	Central	La Reina
5	Chalatenango	SV-CH	Central	Las Vueltas
5	Chalatenango	SV-CH	Central	Nueva Concepción
5	Chalatenango	SV-CH	Central	Nueva Trinidad
5	Chalatenango	SV-CH	Central	Nombre de Jesús
5	Chalatenango	SV-CH	Central	Ojos de Agua
5	Chalatenango	SV-CH	Central	Potonico
5	Chalatenango	SV-CH	Central	San Antonio de la Cruz
5	Chalatenango	SV-CH	Central	San Antonio Los Ranchos
5	Chalatenango	SV-CH	Central	San Fernando (Chalatenango)
5	Chalatenango	SV-CH	Central	San Francisco Lempa
5	Chalatenango	SV-CH	Central	San Francisco Morazán
5	Chalatenango	SV-CH	Central	San Ignacio
5	Chalatenango	SV-CH	Central	San Isidro Labrador
5	Chalatenango	SV-CH	Central	Las Flores
5	Chalatenango	SV-CH	Central	San Luis del Carmen
5	Chalatenango	SV-CH	Central	San Miguel de Mercedes
5	Chalatenango	SV-CH	Central	San Rafael
5	Chalatenango	SV-CH	Central	Santa Rita
5	Chalatenango	SV-CH	Central	Tejutla
6	San Salvador	SV-SS	Central	Aguilares
6	San Salvador	SV-SS	Central	Apopa
6	San Salvador	SV-SS	Central	Ayutuxtepeque
6	San Salvador	SV-SS	Central	Cuscatancingo
6	San Salvador	SV-SS	Central	Ciudad Delgado
6	San Salvador	SV-SS	Central	El Paisnal
6	San Salvador	SV-SS	Central	Guazapa
6	San Salvador	SV-SS	Central	Ilopango
6	San Salvador	SV-SS	Central	Mejicanos
6	San Salvador	SV-SS	Central	Nejapa
6	San Salvador	SV-SS	Central	Panchimalco
6	San Salvador	SV-SS	Central	Rosario de Mora
6	San Salvador	SV-SS	Central	San Marcos
6	San Salvador	SV-SS	Central	San Martín
6	San Salvador	SV-SS	Central	San Salvador
6	San Salvador	SV-SS	Central	Santiago Texacuangos
6	San Salvador	SV-SS	Central	Santo Tomás
6	San Salvador	SV-SS	Central	Soyapango
6	San Salvador	SV-SS	Central	Tonacatepeque
7	Cuscatlán	SV-CU	Paracentral	Cojutepeque
7	Cuscatlán	SV-CU	Paracentral	Candelaria
7	Cuscatlán	SV-CU	Paracentral	El Carmen (Cuscatlán)
7	Cuscatlán	SV-CU	Paracentral	El Rosario (Cuscatlán)
7	Cuscatlán	SV-CU	Paracentral	Monte San Juan
7	Cuscatlán	SV-CU	Paracentral	Oratorio de Concepción
7	Cuscatlán	SV-CU	Paracentral	San Bartolomé Perulapía
